#separator:tab
#html:true
#columns:普通话	粤语和英语
大家快点过来，看看他是怎么做生意的！	大(daai⁶)家(gaa¹)快(faai³)啲(di¹)过(gwo³)嚟(lai⁴)，睇(tai²)吓(haa²)猪(zyu¹)肉(juk⁶)荣(wing⁴)点(dim²)做(zou⁶)生(saang¹)意(ji³)嘅(ge³)！<br>Everyone, come over and see how this butcher treats customers!
我堂堂正正，怕什么理论？尽管来吧！	我(ngo⁵)行(haang⁴)得(dak¹)正(zing³)，企(kei⁵)得(dak¹)正(zing³)，怕(paa³)咩(me¹)理(lei⁵)论(leon⁶)啊(aa³)？放(fong³)马(maa⁵)过(gwo³)嚟(lai⁴)吖(aa¹)！<br>I have done nothing wrong, so I am not afraid to argue my case. Bring it on!
做这种昧良心的生意还这么嘴硬？信不信我打315投诉你？	做(zou⁶)埋(maai⁴)啲(di¹)黑(haak¹)心(sam¹)生(saang¹)意(ji³)仲(zung⁶)咁(gam³)口(hau⁴)硬(ngaang⁶)？信(seon³)唔(m⁴)信(seon³)我(ngo⁵)打(daa²)3(sam¹)1(yed¹)5(ng⁵)告(gou³)你(nei⁵)吖(aa¹)嗱(naa⁴)？<br>You are running a dishonest business and still refusing to admit it. I will call the consumer hotline and report you!
你喜欢打就打吧！我怕你吗？	你(nei⁵)中(zung¹)意(ji³)打(daa²)咪(mai⁵)打(daa²)咯(gok¹)！我(ngo⁵)惊(ging¹)你(nei⁵)啊(aa³)？<br>Call them if you want. Do you think I am afraid?
喂，新宇吗？我有件事想跟你说！	喂(wai³)？新(san¹)宇(jyu⁵)啊(aa³)？我(ngo⁵)有(jau⁵)件(gin⁶)事(si⁶)想(soeng²)同(tung⁴)你(nei⁵)讲(gong²)啊(aa³)！<br>Hello, San-yu? There is something I need to tell you.
有什么事？	有(jau⁵)咩(me¹)事(si⁶)啊(aa³)？<br>What is it?
我们学校有个同事想追求我！	我(ngo⁵)哋(dei⁶)学(hok⁶)校(haau⁶)有(jau⁵)个(go³)同(tung⁴)事(si⁶)想(soeng²)追(zeoi¹)我(ngo⁵)啊(aa³)！<br>One of my colleagues at school wants to ask me out!
是吗？你有没有告诉他你已经有男朋友了？	系(hai⁶)咩(me¹)？你(nei⁵)有(jau⁵)冇(mou⁵)话(waa⁶)俾(bei²)佢(keoi⁵)知(zi¹)你(nei⁵)已(ji⁵)经(ging¹)有(jau⁵)咗(zo²)男(naam⁴)朋(pang⁴)友(jau⁵)喇(laa³)？<br>Really? Have you told him that you already have a boyfriend?
还没有！我怎么知道他会喜欢我？	仲(zung⁶)未(mei⁶)啊(aa³)！我(ngo⁵)点(dim²)知(zi¹)佢(keoi⁵)会(wui⁶)中(zung¹)意(ji³)我(ngo⁵)喎(wo³)！<br>Not yet. How was I supposed to know that he liked me?
那我送你的情侣戒指，你有没有戴着？他不知道知难而退吗？	咁(gam³)我(ngo⁵)送(sung³)俾(bei²)你(nei⁵)只(zi²)情(cing⁴)侣(leoi⁵)对(deoi³)戒(gaai³)，你(nei⁵)有(jau⁵)冇(mou⁵)戴(daai³)住(zyu⁶)吖(aa¹)？佢(keoi⁵)唔(m⁴)识(sik¹)得(dak¹)知(zi¹)难(naan⁴)而(ji⁴)退(teoi³)咩(me¹)？<br>Have you been wearing the matching ring I gave you? Surely that should make him back off.
我没有戴！我怕学生起哄，所以一直没戴！	我(ngo⁵)冇(mou⁵)戴(daai³)啊(aa³)！我(ngo⁵)惊(ging¹)啲(di¹)学(hok⁶)生(saang¹)起(hei²)哄(hung³)，一(jat¹)直(zik⁶)都(dou¹)冇(mou⁵)戴(daai³)！<br>I have not been wearing it because I was worried the students would make a fuss!
那你就是主动给别人机会追求你了？	咁(gam³)你(nei⁵)即(zik¹)系(hai⁶)自(zi⁶)己(gei²)俾(bei²)机(gei¹)会(wui⁶)人(jan⁴)哋(dei⁶)追(zeoi¹)你(nei⁵)啦(laa¹)？<br>Then you are effectively giving other people the chance to pursue you!
我不是这个意思，新宇！你听我解释！	我(ngo⁵)唔(m⁴)系(hai⁶)咁(gam²)嘅(ge²)意(ji³)思(si¹)啊(aa³)，新(san¹)宇(jyu⁵)！你(nei⁵)听(ting¹)我(ngo⁵)解(gaai²)释(sik¹)啦(laa¹)！<br>That is not what I meant, San-yu. Please let me explain!
解释就是掩饰！你一直不公开自己有男朋友，你把我当什么？	解(gaai²)释(sik¹)即(zik¹)系(hai⁶)掩(jim²)饰(sik¹)！你(nei⁵)一(jat¹)直(zik⁶)都(dou¹)唔(m⁴)公(gung¹)开(hoi¹)你(nei⁵)有(jau⁵)男(naam⁴)朋(pang⁴)友(jau⁵)，你(nei⁵)当(dong¹)我(ngo⁵)系(hai⁶)咩(me¹)啊(aa³)？<br>An explanation is just an excuse. You have never told anyone you have a boyfriend. What does that make me?
事情不是这样的，新宇！	件(gin⁶)事(si⁶)唔(m⁴)系(hai⁶)咁(gam²)嘎(gaa³)！新(san¹)宇(jyu⁵)！<br>That is not how it happened, San-yu!
其实从头到尾，你有没有在意过我的感受？	其(kei⁴)实(sat⁶)从(cung⁴)头(tau⁴)到(dou³)尾(mei⁵)，你(nei⁵)有(jau⁵)冇(mou⁵)理(lei⁵)过(gwo³)我(ngo⁵)嘅(ge³)感(gam²)受(sau⁶)？<br>Have you considered my feelings at any point in all of this?
你不要生气！给我一个机会解释！	你(nei⁵)唔(m⁴)好(hou²)嬲(nau¹)啦(laa¹)！你(nei⁵)俾(bei²)个(go³)机(gei¹)会(wui⁶)我(ngo⁵)解(gaai²)释(sik¹)啦(laa¹)！<br>Please do not be angry. Give me a chance to explain!
我不想听你解释！让我一个人静一静！	我(ngo⁵)唔(m⁴)想(soeng²)听(ting¹)你(nei⁵)解(gaai²)释(sik¹)！你(nei⁵)俾(bei²)我(ngo⁵)一(jat¹)个(go³)人(jan⁴)静(zing⁶)吓(haa²)！<br>I do not want to hear any more explanations. Just leave me alone for a while!
老公，今年春节你放几天假？	老(lou⁵)公(gung¹)，今(gam¹)年(nin⁴)春(ceon¹)节(zit³)你(nei⁵)放(fong³)几(gei¹)多(do¹)日(jat⁶)假(gaa²)啊(aa³)？<br>How many days off do you have for the Spring Festival this year?
从除夕放到初五。怎么了？你有什么安排？	年(nin⁴)三(saam¹)十(sap⁶)放(fong³)到(dou³)初(co¹)五(ng⁵)。点(dim²)啊(aa³)？老(lou⁵)婆(po⁴)有(jau⁵)咩(me¹)安(on¹)排(paai⁴)？<br>I am off from New Year’s Eve until the fifth day. What do you have in mind?
我打算今年春节一起回去看望我妈妈！	我(ngo⁵)谂(nam²)住(zyu⁶)今(gam¹)年(nin⁴)春(ceon¹)节(zit³)我(ngo⁵)哋(dei⁶)一(jat¹)齐(cai⁴)返(faan¹)去(heoi³)探(taam³)吓(haa²)我(ngo⁵)阿(aa³)妈(maa¹)！<br>I was thinking we could visit my mother together this Spring Festival!
又回去看你妈妈？上次不是说好留在广州陪我爸爸吗？	又(jau⁶)返(faan¹)去(heoi³)探(taam³)你(nei⁵)阿(aa³)妈(maa¹)？上(soeng⁶)次(ci³)唔(m⁴)系(hai⁶)讲(gong²)好(hou²)今(gam¹)年(nin⁴)春(ceon¹)节(zit³)留(lau⁴)喺(hai²)广(gwong²)州(zau¹)陪(pui⁴)我(ngo⁵)老(lou⁵)豆(dau⁶)嘎(gaa³)咩(me¹)？<br>Visit your mother again? Did we not agree to stay in Guangzhou with my father this year?
我妈妈一个人孤零零的，很可怜！	咁(gam³)我(ngo⁵)阿(aa³)妈(maa¹)一(jat¹)个(go³)人(jan⁴)孤(gu¹)零(ling¹)零(ling¹)，好(hou²)阴(jam¹)功(gung¹)嘎(gaa¹)嘛(maa³)！<br>My mother will be all on her own. I feel terrible leaving her like that!
只有你妈妈是一个人？我爸爸不也是孤零零一个人吗？	得(dak¹)你(nei⁵)阿(aa³)妈(maa¹)系(hai⁶)一(jat¹)个(go³)人(jan⁴)？我(ngo⁵)老(lou⁵)豆(dau⁶)唔(m⁴)系(hai⁶)都(dou¹)系(hai⁶)一(jat¹)个(go³)人(jan⁴)孤(gu¹)零(ling¹)零(ling¹)啊(aa³)？<br>Is your mother the only one living alone? My father will be on his own too!
我们平时和你爸爸住在一起！春节回去看看我妈妈有什么大不了？	咁(gam³)我(ngo⁵)哋(dei⁶)平(ping⁴)时(si⁴)都(dou¹)同(tung⁴)你(nei⁵)老(lou⁵)豆(dau⁶)住(zyu⁶)埋(maai⁴)一(jat¹)齐(cai⁴)嘎(gaa¹)嘛(maa³)！春(ceon¹)节(zit³)返(faan¹)去(heoi³)探(taam³)吓(haa²)我(ngo⁵)阿(aa³)妈(maa¹)有(jau⁵)咩(me¹)咁(gam³)大(daai⁶)不(bat¹)了(liu⁵)喎(wo³)！<br>We live with your father all year round. What is so unreasonable about visiting my mother during the Spring Festival?
去年明明说好了！只有你妈妈重要，我爸爸就不重要！	旧(gau⁶)年(nin²)明(ming⁴)明(ming⁴)讲(gong²)好(hou²)嘎(gaa¹)嘛(maa³)！你(nei⁵)阿(aa³)妈(maa¹)就(zau⁶)大(daai⁶)晒(saai³)！得(dak¹)你(nei⁵)阿(aa³)妈(maa¹)系(hai⁶)人(jan⁴)，我(ngo⁵)老(lou⁵)豆(dau⁶)就(zau⁶)唔(m⁴)系(hai⁶)人(jan⁴)！<br>We clearly agreed last year. It always has to be about your mother, as though my father does not matter!
我根本不是这个意思！你是不是想吵架？	我(ngo⁵)根(gan¹)本(bun²)就(zau⁶)唔(m⁴)系(hai⁶)咁(gam²)嘅(ge²)意(ji³)思(si¹)！你(nei⁵)系(hai⁶)咪(mai⁶)想(soeng²)嗌(aai³)交(gaau¹)吖(aa¹)？<br>That is not what I mean at all. Are you trying to start an argument?
老婆，我们都冷静一点！吵架解决不了问题！	老(lou⁵)婆(po⁴)，我(ngo⁵)哋(dei⁶)都(dou¹)冷(laang⁵)静(zing⁶)啲(di¹)！嘈(cou⁴)系(hai⁶)解(gaai²)决(kyut³)唔(m⁴)到(dou²)问(man⁶)题(tai⁴)嘅(ge³)！<br>Let us both calm down. Arguing is not going to solve anything!
我妈妈前段时间才病好，弟弟今年又回不了家，她一个人我真的不放心！	我(ngo⁵)妈(maa¹)前(cin⁴)排(paai²)先(sin¹)病(beng⁶)完(jyun⁴)，加(gaa¹)上(soeng⁵)我(ngo⁵)细(sai³)佬(lou²)今(gam¹)年(nin⁴)返(faan²)唔(m⁴)到(dou²)屋(uk¹)企(kei²)，得(dak¹)佢(keoi⁵)一(jat¹)个(go³)人(jan⁴)我(ngo⁵)真(zan¹)系(hai⁶)唔(m⁴)放(fong³)心(sam¹)！<br>My mother has only recently recovered from an illness, and my younger brother cannot come home this year. I am genuinely worried about leaving her alone!
我明白。这样吧，不如接你妈妈过来一起过春节，好吗？	我(ngo⁵)明(ming⁴)嘅(ge³)。咁(gam³)啦(laa¹)，老(lou⁵)婆(po⁴)，不(bat¹)如(jyu⁴)我(ngo⁵)哋(dei⁶)接(zip³)你(nei⁵)妈(maa¹)过(gwo³)嚟(lai⁴)一(jat¹)齐(cai⁴)过(gwo³)春(ceon¹)节(zit³)啦(laa¹)，好(hou²)冇(mou²)？<br>I understand. How about we invite your mother to spend the Spring Festival here with us?
好主意！幸好老公想到了一个两全其美的办法！	好(hou²)桥(kiu²)喎(wo³)！好(hou²)彩(coi²)老(lou⁵)公(gung¹)谂(nam²)到(dou³)个(go³)两(loeng⁵)全(cyun⁴)其(kei⁴)美(mei⁵)嘅(ge³)办(baan⁶)法(faat³)！<br>That is a brilliant idea. I am glad you found a solution that works for everyone!
什么时候请喝喜酒？	几(gei¹)时(si⁴)请(cing²)饮(jam²)喜(hei²)酒(zau²)啊(aa³)？<br>When are you going to invite us to the wedding banquet?
你们去哪里喝喜酒？	你(nei⁵)哋(dei⁶)去(heoi³)边(bin¹)度(dou⁶)饮(jam²)啊(aa³)？<br>Where is the wedding banquet being held?
打算什么时候入住新房？	谂(nam²)住(zyu⁶)几(gei¹)时(si⁴)入(jap⁶)伙(fo²)啊(aa³)？<br>When are you planning to move into the new place?
怎么连她也嫁得出去？	乜(mat¹)佢(keoi⁵)都(dou¹)嫁(gaa³)得(dak¹)出(ceot¹)啊(aa³)？<br>Really? Even she has managed to get married?
明天吗？好像不行！	听(ting¹)日(jat⁶)啊(aa³)？好(hou²)似(ci⁵)唔(m⁴)得(dak¹)喎(wo³)！<br>Tomorrow? I do not think I can make it!
你姑姑还没有结婚吗？	乜(mat¹)你(nei⁵)姑(gu¹)姐(ze¹)仲(zung⁶)未(mei⁶)结(git³)婚(fan¹)咩(me¹)？<br>Has your aunt not got married yet?
不过让我先问一下妈妈！	不(bat¹)过(gwo³)等(dang²)我(ngo⁵)问(man⁶)吓(haa²)我(ngo⁵)阿(aa³)妈(maa¹)先(sin¹)！<br>Let me check with my mother first!
记得到时候请喝入伙酒！	记(gei³)住(zyu⁶)到(dou³)时(si⁴)请(cing²)饮(jam²)入(jap⁶)伙(fo²)酒(zau²)喎(wo³)！<br>Remember to invite us to your housewarming party!
不是说结过婚的男人才吃香吗？	唔(m⁴)系(hai⁶)话(waa⁶)结(git³)过(gwo³)婚(fan¹)啲(di¹)男(naam⁴)人(jan²)先(sin¹)馨(hing¹)香(hoeng¹)咩(me¹)？<br>Do people not say that divorced men are more desirable?
妈妈有一点保守，但和儿媳妇感情很好！	老(lou⁵)妈(maa¹)子(zi²)系(hai⁶)有(jau⁵)少(siu²)少(siu²)保(bou²)守(sau²)，但(daan⁶)同(tung⁴)新(san¹)抱(pou⁵)感(gam²)情(cing⁴)几(gei¹)好(hou²)嘎(gaa³)！<br>Mum is a little conservative, but she gets on very well with her daughter-in-law!
阿全，明天有没有时间来我家打游戏？我向表哥借了一个新游戏！	高(gou¹)佬(lou²)全(cyun⁴)，听(ting¹)日(jat⁶)得(dak¹)唔(m⁴)得(dak¹)闲(haan⁴)嚟(lai⁴)我(ngo⁵)屋(uk¹)企(kei²)打(daa²)机(gei¹)啊(aa³)？问(man⁶)表(biu²)哥(go¹)借(ze³)咗(zo²)只(zi²)新(san¹)game(game)啊(aa³)！<br>Ah Chuen, are you free to come over and play games tomorrow? I have borrowed a new one from my cousin!
明天吗？好像不行！我小姑姑结婚！	听(ting¹)日(jat⁶)啊(aa³)？好(hou²)似(ci⁵)唔(m⁴)得(dak¹)喎(wo³)！我(ngo⁵)细(sai³)姑(gu¹)姐(ze¹)结(git³)婚(fan¹)啊(aa³)！<br>Tomorrow? I do not think I can. My youngest aunt is getting married!
你姑姑还没有结婚吗？	乜(mat¹)你(nei⁵)姑(gu¹)姐(ze¹)仲(zung⁶)未(mei⁶)结(git³)婚(fan¹)咩(me¹)？<br>Has your aunt not married yet?
大姑姑和二姑姑早就结婚了！小姑姑只比我大六岁！	大(daai⁶)姑(gu¹)姐(ze¹)、二(ji⁶)姑(gu¹)姐(ze¹)都(dou¹)早(zou²)就(zau⁶)结(git³)咗(zo²)啦(laa¹)！我(ngo⁵)细(sai³)姑(gu¹)姐(ze¹)先(sin¹)大(daai⁶)我(ngo⁵)六(luk⁶)年(nin⁴)！<br>My eldest and second aunts married years ago. My youngest aunt is only six years older than me!
这样啊，你们去哪里喝喜酒？	咁(gam³)啊(aa³)，你(nei⁵)哋(dei⁶)去(heoi³)边(bin¹)度(dou⁶)饮(jam²)啊(aa³)？<br>I see. Where is the wedding banquet?
还是沿江路那间广州酒家！上次不知道谁办喜酒，好像也是去那里！	咪(mai⁶)又(jau⁶)系(hai⁶)沿(jyun⁴)江(gong¹)路(lou⁶)嗰(go²)间(gaan¹)广(gwong²)州(zau¹)酒(zau²)家(gaa¹)咯(gok¹)！上(soeng⁶)次(ci³)唔(m⁴)知(zi¹)边(bin¹)个(go³)摆(baai²)酒(zau²)，好(hou²)似(ci⁵)都(dou¹)系(hai⁶)去(heoi³)嗰(go²)度(dou⁶)！<br>It is at the Guangzhou Restaurant on Yanjiang Road again. I think the last wedding we attended was held there too!
要不你吃完饭再过来，然后晚上在我这里睡！	一(jat¹)唔(m⁴)系(hai⁶)你(nei⁵)食(sik⁶)完(jyun⁴)饭(faan⁶)再(zoi³)过(gwo³)嚟(lai⁴)吖(aa¹)！跟(gan¹)住(zyu⁶)晚(maan⁵)黑(hak¹)喺(hai²)我(ngo⁵)度(dou⁶)瞓(fan³)！<br>Why do you not come over after the banquet and stay at my place for the night?
应该可以！不过让我先问一下妈妈！	都(dou¹)得(dak¹)啩(gwaa³)！不(bat¹)过(gwo³)等(dang²)我(ngo⁵)问(man⁶)吓(haa²)我(ngo⁵)阿(aa³)妈(maa¹)先(sin¹)！<br>That should be fine, but let me ask my mother first!
喂，阿珊吗？差不多一个月没找我了！最近怎么样？	喂(wai³)？阿(aa³)珊(saan¹)啊(aa³)？成(seng⁴)个(go³)月(jyut⁶)冇(mou⁵)搵(wan²)我(ngo⁵)喇(laa³)喎(wo³)！最(zeoi³)近(gan⁶)点(dim²)啊(aa³)？<br>Hello, Ah Shan? I have not heard from you for nearly a month. How have you been?
薇姐，我准备结婚了！	薇(mei⁴)姐(ze²)，我(ngo⁵)准(zeon²)备(bei⁶)结(git³)婚(fan¹)喇(laa³)！<br>Sister Wai, I am getting married!
真的吗？恭喜！什么时候请喝喜酒？	哇(waa¹)，系(hai⁶)咩(me¹)？恭(gung¹)喜(hei²)晒(saai³)喎(wo³)！几(gei¹)时(si⁴)请(cing²)饮(jam²)喜(hei²)酒(zau²)啊(aa³)？<br>Really? Congratulations! When is the wedding banquet?
新宇说还没那么快，我们先买房和领证，婚礼晚一点办！	新(san¹)宇(jyu⁵)话(waa⁶)未(mei⁶)有(jau⁵)咁(gam³)快(faai³)住(zyu⁶)，我(ngo⁵)哋(dei⁶)先(sin¹)买(maai⁵)屋(uk¹)同(tung⁴)领(ling⁵)证(zing³)先(sin¹)，婚(fan¹)礼(lai⁵)迟(ci⁴)啲(di¹)搞(gaau²)！<br>San-yu said we are not rushing. We will buy a flat and register the marriage first, then hold the wedding later.
这样挺好，不用一下子这么慌张！打算什么时候入住？	咁(gam³)都(dou¹)几(gei¹)好(hou²)吖(aa¹)，唔(m⁴)使(sai²)一(jat¹)下(haa⁵)子(zi²)咁(gam³)腾(tang⁴)鸡(gai¹)！谂(nam²)住(zyu⁶)几(gei¹)时(si⁴)入(jap⁶)伙(fo²)啊(aa³)？<br>That sounds sensible. There is no need to rush everything at once. When will you move in?
房子年底才交付，恐怕要到明年年初！	层(cang⁴)楼(lau⁴)年(nin⁴)底(dai²)先(sin¹)交(gaau¹)楼(lau⁴)，睇(tai²)怕(paa³)都(dou¹)要(jiu³)到(dou³)明(ming⁴)年(nin⁴)年(nin⁴)初(co¹)喇(laa³)！<br>The flat will not be handed over until the end of the year, so it will probably be early next year.
记得到时候请喝入伙酒！	记(gei³)住(zyu⁶)到(dou³)时(si⁴)请(cing²)饮(jam²)入(jap⁶)伙(fo²)酒(zau²)喎(wo³)！<br>Do not forget to invite us to the housewarming party!
不止这样，我装修房子还想请你给些意见！我没有经验！	唔(m⁴)单(daan¹)止(zi²)啊(aa³)薇(mei⁴)姐(ze²)，我(ngo⁵)屋(uk¹)企(kei²)装(zong¹)修(sau¹)，我(ngo⁵)仲(zung⁶)想(soeng²)你(nei⁵)俾(bei²)啲(di¹)意(ji³)见(gin³)我(ngo⁵)啊(aa³)！你(nei⁵)知(zi¹)啦(laa¹)，我(ngo⁵)都(dou¹)冇(mou⁵)经(ging¹)验(jim⁶)嘅(ge³)！<br>That is not all. I would also love your advice on decorating the flat, as I have no experience with it.
可以！肯定没有问题！	得(dak¹)！肯(hang²)定(ding⁶)冇(mou⁵)问(man⁶)题(tai⁴)啦(laa¹)！<br>Of course. No problem at all!
你记不记得原来财务部那个老姑娘？	你(nei⁵)记(gei³)唔(m⁴)记(gei³)得(dak¹)原(jyun⁴)嚟(lai⁴)财(coi⁴)务(mou⁶)部(bou⁶)嗰(go²)个(go³)老(lou⁵)姑(gu¹)婆(po⁴)啊(aa³)？<br>Do you remember the older unmarried woman who used to work in Finance?
哪一个？说话特别大声的那个胖女人？	边(bin¹)个(go³)啊(aa³)？讲(gong²)嘢(je⁵)好(hou²)鬼(gwai²)死(sei²)大(daai⁶)声(seng¹)嗰(go²)个(go³)肥(fei⁴)婆(po⁴)？<br>Which one? The woman who always spoke extremely loudly?
是啊，就是她！听说终于结婚了！	系(hai⁶)啊(aa³)！咪(mai⁵)佢(keoi⁵)咯(gok¹)！听(ting¹)讲(gong²)话(waa⁶)终(zung¹)于(jyu¹)结(git³)婚(fan¹)喇(laa³)！<br>Yes, that is the one. Apparently, she has finally got married!
是吗？怎么她也嫁得出去？谁这么倒霉？	系(hai⁶)咩(me¹)？乜(mat¹)佢(keoi⁵)都(dou¹)嫁(gaa³)得(dak¹)出(ceot¹)啊(aa³)？边(bin¹)个(go³)咁(gam³)唔(m⁴)好(hou²)彩(coi²)啊(aa³)？<br>Really? She has managed to get married? Who is the unfortunate man?
这个人你更猜不到！是原来人力资源部那个离过婚的经理！	呢(ni¹)个(go³)人(jan⁴)你(nei⁵)仲(zung⁶)估(gu²)唔(m⁴)到(dou²)啊(aa³)！原(jyun⁴)嚟(lai⁴)人(jan⁴)力(lik⁶)资(zi¹)源(jyun⁴)部(bou⁶)嗰(go²)个(go³)离(ci¹)过(gwo³)婚(fan¹)嘅(ge³)经(ging¹)理(lei⁵)啊(aa³)！<br>You would never guess. It is the divorced manager who used to work in Human Resources!
不是说结过婚的男人才吃香吗？何必娶这样的老姑娘？	唔(m⁴)系(hai⁶)话(waa⁶)结(git³)过(gwo³)婚(fan¹)啲(di¹)男(naam⁴)人(jan²)先(sin¹)馨(hing¹)香(hoeng¹)咩(me¹)？使(sai²)乜(mat¹)娶(ceoi²)个(go³)咁(gam³)嘅(ge³)老(lou⁵)姑(gu¹)婆(po⁴)返(faan¹)去(heoi³)啊(aa³)？<br>Do people not say divorced men are in demand? Why would he marry someone like her?
人家自己心里有数！	人(jan⁴)哋(dei⁶)自(zi⁶)己(gei²)知(zi¹)自(zi⁶)己(gei²)事(si⁶)啦(laa¹)！<br>They know their own situation better than anyone else!
大哥，我和阿珊都不知道选哪种礼服好！	大(daai⁶)佬(lou²)，我(ngo⁵)同(tung⁴)阿(aa³)珊(saan¹)都(dou¹)唔(m⁴)知(zi¹)道(dou³)拣(gaan²)边(bin¹)种(cung⁴)礼(lai⁵)服(fuk⁶)好(hou²)！<br>Brother, Ah Shan and I cannot decide what kind of wedding outfit to choose!
妈妈的要求很难捉摸！我也不知道！	老(lou⁵)妈(maa¹)子(zi²)嘅(ge³)要(jiu¹)求(kau⁴)好(hou²)难(naan⁴)捉(zuk¹)摸(mo²)嘎(gaa³)！我(ngo⁵)都(dou¹)唔(m⁴)知(zi¹)啊(aa³)！<br>Mum’s expectations are difficult to read, so I have no idea either!
大哥，嫂子和你结婚时穿什么款式的婚纱？	大(daai⁶)哥(go¹)，阿(aa³)嫂(sou²)同(tung⁴)你(nei⁵)结(git³)婚(fan¹)嗰(go²)阵(zan⁶)时(si⁴)着(zoek⁶)咩(me¹)款(fun²)式(sik¹)婚(fan¹)纱(saa¹)嘎(gaa³)？<br>What style of wedding dress did your wife wear when you got married?
我们那时没有什么仪式。拍婚纱照时，她穿了一套白色婚纱和一套中式礼服！	我(ngo⁵)哋(dei⁶)嗰(go²)阵(zan⁶)时(si⁴)都(dou¹)冇(mou⁵)咩(me¹)仪(ji⁴)式(sik¹)或(waak⁶)者(ze²)行(haang⁴)礼(lai⁵)咁(gam³)嘅(ge³)。就(zau⁶)系(hai⁶)影(jing²)婚(fan¹)纱(saa¹)相(soeng¹)嗰(go²)阵(zan⁶)，佢(keoi⁵)着(zoek³)咗(zo²)套(tou³)白(baak⁶)色(sik¹)婚(fan¹)纱(saa¹)同(tung⁴)一(jat¹)套(tou³)褂(gwaa³)！<br>We did not have much of a ceremony. For the wedding photos, she wore a white wedding dress and a traditional Chinese bridal outfit.
婚纱和中式礼服？有没有礼服或旗袍之类？	婚(fan¹)纱(saa¹)同(tung⁴)褂(gwaa³)啊(aa³)？有(jau⁵)冇(mou⁵)礼(lai⁵)服(fuk⁶)或(waak⁶)者(ze²)旗(kei⁴)袍(pou²)之(zi¹)类(leoi⁶)啊(aa³)？<br>A wedding dress and a traditional bridal outfit? Did she wear an evening gown or a cheongsam as well?
我们妈妈很传统！	我(ngo⁵)哋(dei⁶)老(lou⁵)妈(maa¹)子(zi²)好(hou²)传(cyun⁴)统(tung²)嘎(gaa³)！<br>Our mother is very traditional!
我记得嫂子选了一件露肩礼服，还被妈妈说了！	我(ngo⁵)记(gei³)得(dak¹)你(nei⁵)阿(aa³)嫂(sou²)拣(gaan²)咗(zo²)件(gin⁶)露(lou⁶)膊(bok³)头(tau⁴)嘅(ge³)礼(lai⁵)服(fuk⁶)，仲(zung⁶)俾(bei²)老(lou⁵)妈(maa¹)子(zi²)话(waa⁶)添(tim¹)！<br>I remember your wife choosing an off-the-shoulder dress, and Mum criticised her for it!
这么严重？后来怎么样？没事吧？	咁(gam³)严(jim⁴)重(zung⁶)啊(aa³)？咁(gam³)结(git³)果(gwo²)呢(ne¹)？冇(mou⁵)事(si⁶)吖(aa¹)嘛(maa³)？<br>Was it really that serious? What happened in the end? Everything was all right, was it not?
不要吓她！妈妈有一点保守，但和儿媳妇感情很好！	你(nei⁵)唔(m⁴)好(hou²)吓(haa²)佢(keoi⁵)啦(laa¹)！老(lou⁵)妈(maa¹)子(zi²)系(hai⁶)有(jau⁵)少(siu²)少(siu²)保(bou²)守(sau²)，但(daan⁶)同(tung⁴)新(san¹)抱(pou⁵)感(gam²)情(cing⁴)几(gei¹)好(hou²)嘎(gaa³)！<br>Do not frighten her. Mum is a little conservative, but she and her daughter-in-law get on very well!
